School Name – City,School Name,District,ESD,Sister school,Street Address,City,State,Zip,County,Phone,Lowest grade,Highest grade,Grade level,Governance,Type of school,State ID,Contact person role,Contact person name,Email,ODS notes,"If your school is not listed above, please enter its name below.",Did your school participate in Outdoor School in the 2016-2017 school year?,How many students from your school participated in Outdoor School in the 2016-2017 school year?,Which grades participated in Outdoor School in the 2016-2017 school year?,Which camp or camps did students at your school attend for Outdoor School in the 2016-2017 school year?,How many DAYS does your Outdoor School program last?,How many NIGHTS does your Outdoor School program last?,Which provider(s) do you contract with to plan your Outdoor School experience?,Does your Outdoor School program have an academic component?,Who develops the curriculum that you use for Outdoor School?,"In addition to classroom teachers, who do you use to staff your Outdoor School program?",To what degree are you able to make accommodations to ensure that the Outdoor School program is accessible for all students?,How many years has your school sent students to Outdoor School?,Has your school sent students to Outdoor School prior to the 2016-2017 school year?,When was the last time that students participated in Outdoor School?,Which camp or camps did students attend the last time your school participated in Outdoor School?,Why did your school stop sending students to Outdoor School?,Is your school interested in starting an Outdoor School program in the future?,When do you think your might be ready to start an Outdoor School program?,"How familiar, if at all, are you with Measure 99, which passed in November 2016 and dedicates funding to schools to send students to Outdoor School?","How familiar, if at all, are you with the role that Oregon State Extension plays in funding Outdoor School programs?",Do you have any other comments about Outdoor School?,Notes,2015-16 Total Enrollment,2016-17 Total Enrollment,2016-17  Male,"2016-17 
% Male",2016-17 Female,"2016-17
% Female",2016-17 American Indian/ Alaska Native,"2016-17
% American Indian/ Alaska Native ",2016-17 Asian,"2016-17
% Asian ",2016-17 Native Hawaiian/ Pacific Islander,"2016-17 
% Native Hawaiian/ Pacific Islander ",2016-17 Black/African American,"2016-17
% Black/ African American ",2016-17 Hispanic/ Latino,"2016-17
% Hispanic/ Latino",2016-17 White,"2016-17 
% White ",2016-17 Multiracial,"2016-17
% Multiracial ",2016-17 Kindergarten,2016-17 Grade One,2016-17 Grade Two,2016-17 Grade Three,2016-17 Grade Four,2016-17 Grade Five,2016-17 Grade Six,2016-17 Grade Seven,2016-17 Grade Eight,2016-17 Grade Nine,2016-17 Grade Ten,2016-17 Grade Eleven,2016-17 Grade Twelve,Done,Sister school (opposite direction)
Armadillo Technical Institute – Phoenix,Armadillo Technical Institute,Phoenix-Talent SD 4,Southern Oregon ESD,,106 Rose St,Phoenix,OR,97535,Jackson,541-535-3287,6,12,Other,Public,Charter School,3247,Director,Kim De Costa,info@armadillotech.org,,,,,,,,,,,,,,,,,,,,,,,,,85,96,62,64.6%,34,35.4%,,0%,1,1%,,0%,2,2.1%,11,11.5%,75,78.1%,7,7.3%,,,,,,,2,3,7,19,17,19,29,false,
Armand Larive Middle School – Hermiston,Armand Larive Middle School,Hermiston SD 8,InterMountain ESD,,1497 SW 9th St,Hermiston,OR,97838,Umatilla,541-667-6200,6,8,Middle,Public,Regular School,1039,Principal,Stacie Roberts,stacie.roberts@hermiston.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,704,757,379,50.1%,378,49.9%,1,0.1%,5,0.7%,,0%,2,0.3%,378,49.9%,355,46.9%,16,2.1%,,,,,,,265,256,236,,,,,false,
Arthur Academy – Portland,Arthur Academy,David Douglas SD 40,Multnomah ESD,,13717 SE Division St.,Portland,OR,97236,Multnomah,503-252-3753,K,5,Elementary,Public,Charter,3580,Principal,Stephanie Walker,swalker@arthuracademy.org,,,Yes,24,5th grade,Audubon Society,2,1,Audubon Society,"Yes, and it CONNECTS TO STATE STANDARDS",Audubon Society,"Program provider staff, Parent volunteers, Principal",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,7,,,,,,,NOT AT ALL FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,,,158,156,75,48.1%,81,51.9%,1,0.6%,19,12.2%,3,1.9%,8,5.1%,16,10.3%,92,59%,17,10.9%,30,29,26,29,23,19,,,,,,,,true,
Arts and Communication Magnet Academy – Beaverton,Arts and Communication Magnet Academy,Beaverton SD 48J,Northwest Regional ESD,,11375 SW Center St,Beaverton,OR,97005,Washington,503-356-3670,6,12,Other,Public,Regular School,1304,Principal,Michael Johnson,michael_johnson@beaverton.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,718,713,182,25.5%,531,74.5%,5,0.7%,34,4.8%,2,0.3%,9,1.3%,112,15.7%,478,67%,73,10.2%,,,,,,,115,114,115,103,97,79,90,false,
Arts and Technology Academy at Jefferson – Eugene,Arts and Technology Academy at Jefferson,Eugene SD 4J,Lane ESD,,1650 W 22nd Ave,Eugene,OR,97405,Lane,541-790-5700,6,8,Middle,Public,Regular School,4554,Principal,Linda O'Shea,oshea_l@4j.lane.edu,,,,,,,,,,,,,,,,,,,,,,,,,312,351,171,48.7%,180,51.3%,7,2%,11,3.1%,2,0.6%,9,2.6%,77,21.9%,207,59%,38,10.8%,,,,,,,137,118,96,,,,,false,
Ash Creek Elementary School – Monmouth,Ash Creek Elementary School,Central SD 13J,Willamette ESD,,1360 N 16th St,Monmouth,OR,97361,Polk,503-606-9016,K,5,Elementary,Public,Regular School,3464,Principal,Craig Harlow,CHarlow@central.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,541,566,290,51.2%,276,48.8%,5,0.9%,1,0.2%,,0%,11,1.9%,278,49.1%,238,42%,33,5.8%,105,78,92,103,89,99,,,,,,,,false,
Ashbrook Independent School – Corvallis,Ashbrook Independent School,,,,4045 SW Research Way,Corvallis,OR,97333,Benton,541-766-8313,PK,8,Other,Private,Regular School,,,,None listed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Ashland Middle School – Ashland,Ashland Middle School,Ashland SD 5,Southern Oregon ESD,,100 Walker Ave,Ashland,OR,97520,Jackson,541-482-1611,6,8,Middle,Public,Regular School,380,Principal,Steve Retzlaff,steve.retzlaff@ashland.k12.or.us,,,Yes,180,6th grade,Mountain Lakes Bible Camp,3,2,Southern Oregon University,"Yes, and it CONNECTS TO STATE STANDARDS",School staff develop the curriculum,"Program provider staff, Parent volunteers, High school mentors",We are ABLE TO MAKE SOME accommodations so our program is accessible for all students,30,,,,,,,VERY FAMILIAR with Measure 99,SOMEWHAT FAMILIAR with the role OSU Extension plays,,,566,579,299,51.6%,280,48.4%,2,0.3%,8,1.4%,1,0.2%,12,2.1%,48,8.3%,457,78.9%,51,8.8%,,,,,,,186,201,192,,,,,true,
Ashwood Elementary School – Ashwood,Ashwood Elementary School,Ashwood SD 8,,,18624 NE Main,Ashwood,OR,97711,Jefferson,,K,6,Elementary,Public,Regular School,427,Head Teacher,,mfriend@ashwood.k12.or.us,,,No,,,,,,,,,,,,I'm not sure,,,,A BIT interested,2018/2019 school year,NOT AT ALL FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Astor Elementary School – Portland,Astor Elementary School,Portland SD 1J,Multnomah ESD,,5601 N Yale St,Portland,OR,97203,Multnomah,503-916-6244,K,8,Other,Public,Regular School,827,Principal,Karl Newsome,knewsome@pps.net,,,,,,,,,,,,,,,,,,,,,,,,,497,455,220,48.4%,235,51.6%,9,2%,8,1.8%,4,0.9%,42,9.2%,69,15.2%,273,60%,50,11%,61,54,50,68,42,43,53,46,38,,,,,false,
Astoria Middle School – Astoria,Astoria Middle School,Astoria SD 1,Northwest Regional ESD,,1100 Klaskanine Ave,Astoria,OR,97103,Clatsop,503-325-4331,6,8,Middle,Public,Regular School,144,Principal,Linda Berger,lberger@astoria.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,452,404,207,51.2%,197,48.8%,1,0.2%,8,2%,2,0.5%,1,0.2%,64,15.8%,313,77.5%,15,3.7%,,,,,,,113,144,147,,,,,false,
Athey Creek Middle School – West Linn,Athey Creek Middle School,West Linn-Wilsonville SD 3J,Clackamas ESD,,2900 SW Borland Rd,West Linn,OR,97062,Clackamas,503-673-7400,6,8,Middle,Public,Regular School,1287,Principal,Joel Sebastian,sebastij@wlwv.k12.or.us,Note 12,,Yes,220,6th grade,"Cedar Ridge, Trickle Creek",4,3,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS",We use curriculum developed by an outside provider,"Program provider staff, High school mentors",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,10,,,,,,,VERY FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,"I really appreciate the opportunity for students to attend outdoor school. It is incredible valuable for students to have the experience of seeing and looking into an environment they don't often look into. However, I also believe the outdoor school programs we have attended through NWRSED seem to focus too much on the learning of too many small factoids that, while relevant to the outdoor location and our middle school standards, I could teach students in the class. I think their program could benefit from a shift in focus towards observation and inquiry into the environment around them. I've spent most of my professional career working with students in the natural world from time to time, often with kids who never go outdoors. Really, when students head into these unfamiliar environments for the first time, they need the time to slow down and observe what is around them. A good program, in my mind, structures for that. Less transitioning from place to place, and longer time to observe, journal, communicate observations, develop inquiry into the natural world based on those questions and observations, collect data, make comparisons, and draw conclusions. 

That being said, I don't want to downplay how good of a job the NWRESD staff does at engaging students and keeping them interested throughout the week. My students always return with positive views of their experience and having learned more than they arrived at camp with. I just think as a science instructor, I see a wonderful opportunity in outdoor school for students to think like a scientist working in the field things, and believe the programming the state promotes should develop with focused attention on the inquiry and engineering standards, not content specific facts. I also think we as science teachers could do a lot of content specific prep to build some initial background knowledge so students arrive at camp. If the camps could provide that to us beforehand, then students would have a content foundation to build inquiry around.",,657,662,362,54.7%,300,45.3%,1,0.2%,36,5.4%,,0%,10,1.5%,30,4.5%,550,83.1%,35,5.3%,,,,,,,225,213,224,,,,,true,
Atkinson Elementary School – Portland,Atkinson Elementary School,Portland SD 1J,Multnomah ESD,,5800 SE Division St,Portland,OR,97206,Multnomah,503-916-6333,K,5,Elementary,Public,Regular School,828,Principal,Ivonne Dibblee,idibblee@pps.net,,,,,,,,,,,,,,,,,,,,,,,,,435,430,226,52.6%,204,47.4%,2,0.5%,31,7.2%,,0%,10,2.3%,114,26.5%,248,57.7%,25,5.8%,66,73,68,81,72,70,,,,,,,,false,
Auburn Elementary School – Salem,Auburn Elementary School,Salem-Keizer SD 24J,Willamette ESD,,4612 Auburn Rd NE,Salem,OR,97301,Marion,503-399-3128,K,5,Elementary,Public,Regular School,728,Principal,Sue Luthra,luthra_susan@salkeiz.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,653,683,338,49.5%,345,50.5%,3,0.4%,11,1.6%,16,2.3%,5,0.7%,430,63%,204,29.9%,14,2%,121,104,93,128,126,111,,,,,,,,false,
Aumsville Elementary School – Aumsville,Aumsville Elementary School,Cascade SD 5,Willamette ESD,,572 N 11th St,Aumsville,OR,97325,Marion,503-749-8040,K,5,Elementary,Public,Regular School,719,Principal,Cyndi Ganfield,cganfield@cascade.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,559,573,288,50.3%,285,49.7%,10,1.7%,9,1.6%,3,0.5%,4,0.7%,114,19.9%,426,74.3%,7,1.2%,83,100,94,113,78,105,,,,,,,,false,
Awbrey Park Elementary School – Eugene,Awbrey Park Elementary School,Eugene SD 4J,Lane ESD,,158 Spring Creek Dr,Eugene,OR,97404,Lane,541-790-4050,K,5,Elementary,Public,Regular School,504,Principal,Mike Riplinger,riplinger_m@4j.lane.edu,,,,,,,,,,,,,,,,,,,,,,,,,415,444,239,53.8%,205,46.2%,7,1.6%,,0%,,0%,1,0.2%,53,11.9%,360,81.1%,23,5.2%,72,78,58,77,73,86,,,,,,,,false,
Azalea Middle School – Brookings,Azalea Middle School,Brookings-Harbor SD 17C,South Coast ESD,,505 Pacific Ave,Brookings,OR,97415,Curry,541-469-7427,6,8,Middle,Public,Regular School,235,Principal,Nicole Medrano,nicolem@brookings.k12.or.us,"Statia Ryder says: ""No schools currently participate with an Outdoor School Program.  They all partner with Curry Watersheds Education Program and participate with field trips and Adopt-a-Stream projects, but no overnight programs to my knowledge.""",,No,,,,,,,,,,,,,,,,,,,,,,368,359,177,49.3%,182,50.7%,16,4.5%,2,0.6%,1,0.3%,3,0.8%,46,12.8%,208,57.9%,83,23.1%,,,,,,,105,131,123,,,,,false,
Baker Web Academy – Baker City,Baker Web Academy,Baker SD 5J,InterMountain ESD,,2725 7th St,Baker City,OR,97814,Baker,,K,12,Other,Public,Charter School,4728,Director,Roland Hobson,rhobson@bakercharters.org,In discussions to do ODS in 2017-2018,,No,,,,,,,,,,,,No,,,,,,,,,,730,1032,491,47.6%,541,52.4%,19,1.8%,19,1.8%,2,0.2%,20,1.9%,90,8.7%,856,82.9%,26,2.5%,60,49,57,48,63,64,85,86,121,125,116,94,64,false,
Banks Elementary School – Banks,Banks Elementary School,Banks SD 13,Northwest Regional ESD,Banks Middle School – Banks,42350 NW Trellis Way,Banks,OR,97106,Washington,503-324-2772,K,5,Elementary,Public,Regular School,1120,Principal,Darla Waite-Larkin,darlawl@banks.k12.or.us,,,Yes,87,5th grade,Camp Westwind,4,3,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS",We use curriculum developed by an outside provider,Program provider staff,We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,20,,,,,,,SOMEWHAT FAMILIAR with Measure 99,SOMEWHAT FAMILIAR with the role OSU Extension plays,"Great program for kids, improvement is needed in the recruitment and training of high quality high school counselors. High school teachers could be more supportive in encouraging quality students to miss a week of class to volunteer at outdoor school.",,435,479,265,55.3%,214,44.7%,1,0.2%,6,1.3%,3,0.6%,,0%,41,8.6%,397,82.9%,31,6.5%,78,73,81,89,77,81,,,,,,,,true,Banks Middle School – Banks
Banks Middle School – Banks,Banks Middle School,Banks SD 13,Northwest Regional ESD,Banks Elementary School – Banks,12850 NW Main St,Banks,OR,97106,Washington,503-324-3111,6,8,Middle,Public,Regular School,1123,Principal,Shelley Mitchell,shelleym@banks.k12.or.us,,Banks Elementary School now attends outdoor school,No (sister school did),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,Banks Elementary School – Banks
Barnes Butte Elementary School – Prineville,Barnes Butte Elementary School,Crook County SD,High Desert ESD,,1875 NE Ironhorse Dr,Prineville,OR,97754,Crook,541-416-4150,K,5,Elementary,Public,Regular School,5302,Principal,Jim Bates,jim.bates@crookcounty.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,646,650,325,50%,325,50%,14,2.2%,3,0.5%,,0%,1,0.2%,173,26.6%,414,63.7%,45,6.9%,103,109,101,119,111,107,,,,,,,,false,
Barnes Elementary School – Beaverton,Barnes Elementary School,Beaverton SD 48J,Northwest Regional ESD,,13730 SW Walker Rd,Beaverton,OR,97005,Washington,503-356-2130,K,5,Elementary,Public,Regular School,1154,Principal,Veronica Jones,veronica_jones@beaverton.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,677,651,323,49.6%,328,50.4%,7,1.1%,21,3.2%,2,0.3%,30,4.6%,351,53.9%,206,31.6%,34,5.2%,99,101,122,118,113,98,,,,,,,,false,
Battle Creek Elementary School – Salem,Battle Creek Elementary School,Salem-Keizer SD 24J,Willamette ESD,,1640 Waln Dr SE,Salem,OR,97306,Marion,503-399-2062,K,5,Elementary,Public,Regular School,5066,Principal,Linda Dougherty,dougherty_linda@salkeiz.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,542,582,287,49.3%,295,50.7%,6,1%,8,1.4%,9,1.5%,10,1.7%,61,10.5%,447,76.8%,41,7%,94,111,102,102,85,88,,,,,,,,false,
Beach Elementary School – Portland,Beach Elementary School,Portland SD 1J,Multnomah ESD,,1710 N Humboldt St,Portland,OR,97217,Multnomah,503-916-6236,PK,5,Elementary,Public,Regular School,830,Principal,Vanessa Martinez,vmartinez@pps.net,,,,,,,,,,,,,,,,,,,,,,,,,631,464,231,49.8%,233,50.2%,3,0.6%,5,1.1%,5,1.1%,55,11.9%,175,37.7%,190,40.9%,31,6.7%,82,86,85,74,71,66,,,,,,,,false,
Bear Creek Elementary School – Bend,Bear Creek Elementary School,Bend-La Pine Admin SD 1,High Desert ESD,,51 SE 13th St,Bend,OR,97702,Deschutes,,K,5,Elementary,Public,Regular School,241,Principal,Anissa Wiseman,anissa.wiseman@bend.k12.or.us,,,Yes,110,5th grade,Camp Tamarack,3,2,Camp Tamarack,"Yes, and it CONNECTS TO STATE STANDARDS",We use curriculum developed by an outside provider,Program provider staff,,,,,,,,,,,,,,,,,315,51.1%,4,0.6%,7,1.1%,2,0.3%,4,0.6%,267,43.3%,324,52.6%,8,1.3%,95,98,112,94,107,110,,,,,,,,false,
Beaumont Middle School – Portland,Beaumont Middle School,Portland SD 1J,Multnomah ESD,,4043 NE Fremont St,Portland,OR,97212,Multnomah,503-916-5610,6,8,Middle,Public,Regular School,831,Principal,Harriette Vimegnon,vimegnon@pps.net,,,,,,,,,,,,,,,,,,,,,,,,,578,569,298,52.4%,271,47.6%,7,1.2%,13,2.3%,1,0.2%,62,10.9%,119,20.9%,327,57.5%,40,7%,,,,,,,190,186,193,,,,,false,
Beaver Acres Elementary School – Beaverton,Beaver Acres Elementary School,Beaverton SD 48J,Northwest Regional ESD,,2125 SW 170th Ave,Beaverton,OR,97003,Washington,503-356-2020,K,5,Elementary,Public,Regular School,1155,Principal,Stacy Geale,stacy_geale@beaverton.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,795,768,381,49.6%,387,50.4%,4,0.5%,68,8.9%,11,1.4%,43,5.6%,285,37.1%,289,37.6%,68,8.9%,128,128,135,136,129,112,,,,,,,,false,
Beavercreek Elementary School – Beavercreek,Beavercreek Elementary School,Oregon City SD 62,Clackamas ESD,,21944 S Yeoman Rd,Beavercreek,OR,97004,Clackamas,503-785-8350,K,5,Elementary,Public,Regular School,105,Principal,Cori Waufle,cori.waufle@orecity.k12.or.us,,,No,,,,,,,,,,,,I'm not sure,,,,NOT AT ALL interested,Not sure at this point,SOMEWHAT FAMILIAR with Measure 99,SOMEWHAT FAMILIAR with the role OSU Extension plays,,,527,531,262,49.3%,269,50.7%,2,0.4%,11,2.1%,,0%,1,0.2%,38,7.2%,444,83.6%,35,6.6%,88,76,87,98,92,90,,,,,,,,false,
Bellview Elementary School – Ashland,Bellview Elementary School,Ashland SD 5,Southern Oregon ESD,,1070 Tolman Creek Rd,Ashland,OR,97520,Jackson,541-482-1310,K,5,Elementary,Public,Regular School,375,Principal,Christine McCollom,christine.mccollom@ashland.k12.or.us,,,Yes,60,5th grade,Coastal Discovery Center at Camp Gray,3,2,OMSI,"Yes, and it CONNECTS TO STATE STANDARDS","School staff develop the curriculum, We use curriculum developed by an outside provider","Program provider staff, Parent volunteers",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,20,,,,,,,A BIT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,,,297,310,166,53.5%,144,46.5%,3,1%,2,0.6%,2,0.6%,5,1.6%,20,6.5%,262,84.5%,16,5.2%,48,49,50,54,52,57,,,,,,,,true,
Bend International School – Bend,Bend International School,Bend-La Pine Admin SD 1,High Desert ESD,,63020-63034 OB Riley Rd,Bend,OR,97701,Deschutes,,K,8,Other,Public,Charter,5309,,Meera Rupp,meera@bendinternationalschool.org,,,Yes,22,5th grade,Camp Tamarack,3,2,Camp Tamarack,"Yes, and it CONNECTS TO STATE STANDARDS",We use curriculum developed by an outside provider,Program provider staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Bethany Charter School – Silverton,Bethany Charter School,Silver Falls SD 4J,Willamette ESD,,11824 Hazelgreen Rd NE,Silverton,OR,97381,Marion,503-873-4300,K,8,Other,Public,Regular School,784,Principal,Kathy Frank,frank_kathy@silverfalls.k12.or.us,,,Yes,60,"5th grade, 6th grade, 7th grade, 8th grade","Camp Magruder, Seattle, Coastal Discovery Center at Camp Gray",3,2,Northwest Regional ESD,"Yet, but it DOES NOT CONNECT TO STATE STANDARDS",School staff develop the curriculum,Parent volunteers,We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,12,,,,,,,A BIT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,This year we are attending Camp Macgruder in Rockaway Beach,,138,137,67,48.9%,70,51.1%,1,0.7%,2,1.5%,1,0.7%,1,0.7%,4,2.9%,126,92%,2,1.5%,15,16,14,15,15,15,15,15,17,,,,,true,
Bethany Elementary School – Portland,Bethany Elementary School,Beaverton SD 48J,Northwest Regional ESD,,3305 NW 174th Ave,Portland,OR,97006,Washington,503-356-2030,K,5,Elementary,Public,Regular School,1156,Principal,Rafael Montelongo,rafael_montelongo@beaverton.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,551,553,274,49.5%,279,50.5%,,0%,148,26.8%,2,0.4%,17,3.1%,53,9.6%,276,49.9%,57,10.3%,93,87,94,85,91,103,,,,,,,,false,
Beverly Cleary School – Portland,Beverly Cleary School,Portland SD 1J,Multnomah ESD,,1915 NE 33rd,Portland,OR,97212,Multnomah,503-916-6766,K,8,Other,Public,Regular School,857,Principal,John Ferraro,jferraro@pps.net,,,,,,,,,,,,,,,,,,,,,,,,,859,884,473,53.5%,411,46.5%,6,0.7%,31,3.5%,3,0.3%,19,2.1%,65,7.4%,702,79.4%,58,6.6%,107,76,101,115,106,94,109,95,81,,,,,false,
Big Muddy Elementary School – Madras,Big Muddy Elementary School,Jefferson County SD 509J,Jefferson ESD,,1 Muddy Road,Madras,OR,97001,Jefferson,541-475-6192,K,8,Other,Public,Regular School,3458,Principal,Melinda Boyle,mboyle@509j.net,,,,,,,,,,,,,,,,,,,,,,,,,17,22,9,40.9%,13,59.1%,,0%,2,9.1%,,0%,1,4.5%,,0%,18,81.8%,1,4.5%,4,1,1,4,3,1,3,3,2,,,,,false,
Bilquist Elementary School – Milwaukie,Bilquist Elementary School,North Clackamas SD 12,Clackamas ESD,,15708 SE Webster Rd,Milwaukie,OR,97267,Clackamas,503-353-5340,K,5,Elementary,Public,Regular School,65,Principal,Charles Foote,footec@nclack.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,443,447,232,51.9%,215,48.1%,,0%,15,3.4%,1,0.2%,5,1.1%,101,22.6%,291,65.1%,34,7.6%,77,78,58,78,82,74,,,,,,,,false,
Black Butte Elementary School – Camp Sherman,Black Butte Elementary School,Black Butte SD 41,Jefferson ESD,,25745 SW Forest SErvice Road 1419,Camp Sherman,OR,97730,Jefferson,541-595-6203,K,8,Elementary,Public,Regular School,428,Head Teacher,Delaney Sharp,dsharp@blackbutte.k12.or.us,,,Yes,14,"4th grade, 5th grade, 6th grade, 7th grade, 8th grade",Coastal Discovery Center at Camp Gray,5,4,OMSI,"Yes, and it CONNECTS TO STATE STANDARDS",We use curriculum developed by an outside provider,Parent volunteers,We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,,,,,,,,VERY FAMILIAR with Measure 99,SOMEWHAT FAMILIAR with the role OSU Extension plays,"We do many components of outdoor school all year long including hiking, camping, teambuilding, and experiential adventures. Outdoor school shouldn't just be a 3 day experience. It can happen all year long.",,10,26,16,61.5%,10,38.5%,,0%,,0%,1,3.8%,,0%,1,3.8%,23,88.5%,1,3.8%,1,3,4,5,4,4,1,2,2,,,,,true,
Blanchet Catholic School – Salem,Blanchet Catholic School,,,,4373 Market St NE,Salem,OR,97301,,(503) 391-2639,,,Other,Private,Regular School,,,,,,,Yes,28,,Camp Westwind,4,3,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
Boeckman Creek Primary School – Wilsonville,Boeckman Creek Primary School,West Linn-Wilsonville SD 3J,Clackamas ESD,,6700 SW Wilsonville Rd,Wilsonville,OR,97070,Clackamas,503-673-7750,PK,5,Elementary,Public,Regular School,1272,Principal,Lindy Sproul,sproull@wlwv.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,449,505,245,48.5%,260,51.5%,1,0.2%,20,4%,5,1%,9,1.8%,73,14.5%,369,73.1%,28,5.5%,87,83,81,71,85,98,,,,,,,,false,
Bohemia Elementary School – Cottage Grove,Bohemia Elementary School,South Lane SD 45J3,Lane ESD,,721 S  R  St,Cottage Grove,OR,97424,Lane,541-942-3313,K,5,Elementary,Public,Regular School,573,Principal,Heather Bridgens,heather.bridgens@slane.k12.or.us,,,No,,,,,,,,,,,,Yes,so long ago that I'm not sure,?,Money and staff support,VERY interested,2017/2018 school year,VERY FAMILIAR with Measure 99,SOMEWHAT FAMILIAR with the role OSU Extension plays,,,473,482,265,55%,217,45%,5,1%,6,1.2%,3,0.6%,1,0.2%,92,19.1%,365,75.7%,10,2.1%,76,67,65,84,106,84,,,,,,,,false,
Boise-Eliot Elementary School – Portland,Boise-Eliot Elementary School,Portland SD 1J,Multnomah ESD,,620 N Fremont,Portland,OR,97227,Multnomah,503-916-6171,PK,8,Other,Public,Regular School,833,Principal,Kevin Bacon,kbacon@pps.net,,,,,,,,,,,,,,,,,,,,,,,,,522,512,261,51%,251,49%,8,1.6%,12,2.3%,1,0.2%,301,58.8%,63,12.3%,79,15.4%,48,9.4%,58,63,74,61,68,57,51,40,40,,,,,false,
