"","school","participation","district","esd","governance","ods.fifth.grade","ods.sixth.grade","number.of.students","camp.attended","days","nights","academic.component","accommodations","lon","lat"
"567","Sherwood Charter School","Yes","Sherwood SD 88J","Northwest Regional ESD","Public",1,0,17,"Camp Westwind","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.8405521,45.3512032
"568","Sherwood Middle School","Yes","Sherwood SD 88J","Northwest Regional ESD","Public",0,1,105,"Cedar Ridge","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.841336,45.3589282
"569","Silver Crest Elementary School","No","Silver Falls SD 4J","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.666332,44.926529
"570","Silver Rail Elementary School","Yes","Bend-La Pine Admin SD 1","High Desert ESD","Public",1,0,66,"Camp Tamarack","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-121.2954071,44.0340337
"571","Silverton Middle School","Yes","Silver Falls SD 4J","Willamette ESD","Public",0,1,125,"Camp Tadmor","3","2",NA,NA,-122.788092,45.0120118
"572","Silvies River Charter School","Yes","Frenchglen SD 16","Harney ESD","Public",0,1,8,"Coastal Discovery Center at Camp Gray","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-118.9144652,42.826405
"573","Sisters Middle School","Yes","Sisters SD 6","High Desert ESD","Public",1,0,85,"Camp Tamarack","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-121.5713925,44.2930138
"574","Siuslaw Middle School","Yes","Siuslaw SD 97J","Lane ESD","Public",1,0,115,"Camp Cleawox","4","0","Yet, but it DOES NOT CONNECT TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-124.104111,43.9883547
"575","Sky View Middle School","No","Bend-La Pine Admin SD 1","High Desert ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-121.2804506,44.1074421
"576","Skyline Elementary School","Yes","Portland SD 1J","Multnomah ESD","Public",0,1,22,"Camp Howard","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.8564573,45.6075366
"577","Shoreline Christian School","No","None",NA,"Private",0,0,NA,NA,NA,NA,NA,NA,-124.0998409,43.9826214
"578","South Baker Intermediate School","Yes","Baker SD 5J","InterMountain ESD","Public",1,1,NA,"Camp Baker","4","0","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-117.8338493,44.7703825
"579","South Columbia Family School","No","Scappoose SD 1J","Northwest Regional ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.854863,45.812812
"580","South Middle School","Yes","Grants Pass SD 7","Southern Oregon ESD","Public",0,1,167,"Camp Latgawa","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-123.333753,42.4155121
"581","Southwest Charter School","Yes","Portland SD 1J","Oregon Department of Education","Public",0,1,19,"Hancock Field Station","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.671601,45.4927486
"582","Spray School","No","Spray SD 1","North Central ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-119.7930072,44.834217
"583","Springville K-8 School","Yes","Beaverton SD 48J","Northwest Regional ESD","Public",1,0,150,"Camp Westwind, Camp Magruder","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.8513053,45.5685029
"584","Springwater Environmental Sciences School","Yes","Oregon City SD 62","Clackamas ESD","Public",1,1,40,"Jawbone Flats, Beverly Beach State Park, Coastal Discovery Center at Camp Gray","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.4667226,45.3667816
"585","St Agatha Catholic School","Yes","None",NA,"Private",0,1,20,"Camp Angelos","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are NOT ABLE TO MAKE ANY accommodations so our program is accessible for all students",-122.6505238,45.4660333
"586","St Andrew Nativity School","Yes","None",NA,"Private",0,1,29,"Camp Namanu","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.6568526,45.5584271
"587","St Cecilia School","Yes","None",NA,"Private",0,1,26,"Coastal Discovery Center at Camp Gray, Hancock Field Station","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.802107,45.483018
"588","St Clare School","Yes","None",NA,"Private",0,1,26,"Camp Howard","6","5","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.6961627,45.4629792
"589","St Francis Of Assisi School","Yes","None",NA,"Private",0,0,NA,"Camp Magruder","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-123.0801,45.5953302
"590","St Francis School","Yes","None",NA,"Private",1,0,15,"Coastal Discovery Center at Camp Gray","5","4","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.838908,45.3613231
"591","St Helens Arthur Academy","Yes","St Helens SD 502","Northwest Regional ESD","Public",0,1,28,"Camp Howard","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.8867512,45.8669226
"592","St Ignatius School","Yes","None",NA,"Private",0,1,23,"Camp Angelos","6","5","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.6181113,45.4986935
"593","St James Catholic Schools","Yes","None",NA,"Private",1,0,11,"Trickle Creek","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-123.1859204,45.2091834
"594","St John Fisher","Yes","None",NA,"Private",0,1,22,"Camp Arrah Wanna","6","5","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.7249289,45.4740852
"595","St John The Apostle Catholic School","Yes","None",NA,"Private",0,1,18,"Camp Westwind","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.6071044,45.354888
"596","St John The Baptist Catholic School","Yes","None",NA,"Private",0,1,18,"Coastal Discovery Center at Camp Gray","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-122.6361593,45.4434308
"597","St Joseph School","Yes","None",NA,"Private",0,0,NA,"Camp Magruder","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-123.0313468,44.9415405
"598","St Lukes School","Yes","None",NA,"Private",0,1,13,"Camp Westwind","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.8573076,45.1464412
"599","St Mary Catholic School","Yes","None",NA,"Private",1,0,8,"Hancock Field Station","5","4","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.7867293,44.8026882
"600","St Marys Academy","Yes","None",NA,"Private",0,1,12,"Hancock Field Station","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-121.2023424,45.6023807
"601","St Marys School","Yes","None",NA,"Private",0,0,0,"Hancock Field Station","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.8376657,42.3144118
"602","St Matthew Catholic School","Yes","None",NA,"Private",0,1,25,"Camp Westwind","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.9874006,45.5179443
"603","St Paul Elementary School","Yes","St Paul SD 45","Willamette ESD","Public",0,1,17,"Camp Howard","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.976793,45.214933
"604","St Paul Parish School","Yes","None",NA,"Private",0,1,17,"Grove Christian Camp","5","4",NA,NA,-123.05872,44.0755
"605","St Paul Parochial School","Yes","None",NA,"Private",1,1,20,"Hancock Field Station","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.9767662,45.2112295
"606","St Stephens Academy","Yes","None",NA,"Private",0,0,0,"Coastal Discovery Center at Camp Gray","3","2","Yet, but it DOES NOT CONNECT TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.8044054,45.4671686
"607","St Therese School","Yes","None",NA,"Private",0,1,24,"Camp Arrah Wanna","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.5270772,45.5316708
"608","St Thomas Academy","No","None",NA,"Private",0,0,NA,NA,NA,NA,NA,NA,-121.1880417,44.2916867
"609","St Thomas More School","Yes","None",NA,"Private",0,1,27,"Camp Angelos","6","5","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.7136492,45.5019694
"610","Stanfield Elementary School","Yes","Stanfield SD 61","InterMountain ESD","Public",1,0,40,"Kiwanis Camp","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-119.2220682,45.7902893
"611","Stayton Middle School","Yes","North Santiam SD 29J","Willamette ESD","Public",0,1,90,"Camp Tadmor","5","4","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-122.805026,44.810461
"612","Stearns Elementary School","Yes","Klamath County SD","Southern Oregon ESD","Public",0,1,39,"Coastal Discovery Center at Camp Gray","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-121.7418873,42.1932555
"613","Stella Mayfield Elementary School","Yes","Elgin SD 23","InterMountain ESD","Public",0,1,30,"Blue Mountain 4-H Center","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-117.9210654,45.5649787
"614","Stephens Middle School","No","Salem-Keizer SD 24J","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.9601921,44.9900577
"615","Stoller Middle School","No","Beaverton SD 48J","Northwest Regional ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.8225582,45.5571347
"616","Straub Middle School","No","Salem-Keizer SD 24J","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.0759655,44.9621442
"617","Sublimity Elementary School","Yes","North Santiam SD 29J","Willamette ESD","Public",1,0,31,"Coastal Discovery Center at Camp Gray","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.786664,44.830792
"618","Sue Buel Elementary School","No","McMinnville SD 40","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.1968283,45.1942377
"619","Summit Learning Charter School","No","Estacada SD 108","Clackamas ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.352599,45.36218
"620","Sumpter Elementary School","Yes","Salem-Keizer SD 24J","Willamette ESD","Public",1,0,87,"Camp Cascade Conference and Retreat Center","3","2",NA,NA,-123.0473159,44.8779045
"621","Sunnyside Environmental School","Yes","Portland SD 1J","Multnomah ESD","Public",0,1,85,"Camp Howard, Camp Namanu","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.629098,45.5144603
"622","Sunnyslope Elementary School","No","Douglas County SD 4","Douglas ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.388432,43.154823
"623","Sunridge Middle School","Yes","Pendleton SD 16","InterMountain ESD","Public",0,1,250,"Kiwanis Camp","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-118.7868232,45.6506743
"624","Sunrise Elementary School","Yes","Greater Albany Public SD 8J","Linn Benton Lincoln ESD","Public",1,0,75,"Camp Koinonia","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-123.0938736,44.6224114
"625","Sunset Elementary School","Yes","Hermiston SD 8","InterMountain ESD","Public",1,0,150,"Camp Meadowood Springs","3","2",NA,NA,-119.28663,45.844604
"626","Sunset School","No","Coos Bay SD 9","South Coast ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-124.2735105,43.3895866
"627","Sunstone Montessori School","Yes","None",NA,"Private",1,1,20,"Coastal Discovery Center at Camp Gray","7","6","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.6755577,45.4783424
"628","Suntex Elementary School","No","Suntex SD 10","Harney ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-119.648025,43.6587387
"629","Sweet Home Charter School","Yes","Sweet Home SD 55","Linn Benton Lincoln ESD","Public",0,1,13,"Camp Tadmor","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.7879081,44.431747
"630","Swegle Elementary School","Yes","Salem-Keizer SD 24J","Willamette ESD","Public",0,0,NA,"Canyonview Camp",NA,NA,NA,NA,-122.9741431,44.9505183
"631","Table Rock Elementary School","No","Eagle Point SD 9","Southern Oregon ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.8397162,42.4309439
"632","Taft Elementary School","Yes","Lincoln County SD","Linn Benton Lincoln ESD","Public",0,1,119,"Coastal Discovery Center at Camp Gray","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-124.0172441,44.9353765
"633","Talent Elementary School","Yes","Phoenix-Talent SD 4","Southern Oregon ESD","Public",0,0,0,"Siskiyou Field Institute","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.7898662,42.2413382
"634","Talent Middle School","No","Phoenix-Talent SD 4","Southern Oregon ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.7940684,42.2397784
"635","Talmadge Middle School","No","Central SD 13J","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.2117067,44.8526091
"636","Tangent Elementary School","No","Greater Albany Public SD 8J","Linn Benton Lincoln ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.105218,44.5378785
"637","Terrebonne Community School","Yes","Redmond SD 2J","High Desert ESD","Public",1,0,55,"Camp Tamarack","3","2","Yet, but it DOES NOT CONNECT TO STATE STANDARDS","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-121.1813973,44.3517331
"638","Territorial Elementary School","Yes","Junction City SD 69","Lane ESD","Public",0,0,NA,"Camp Lutherwood Oregon",NA,NA,NA,NA,-123.312339,44.173447
"639","The Community Roots School","No","Silver Falls SD 4J","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.789057,45.013809
"640","The Dalles Middle School","No","North Wasco County SD 21","Columbia Gorge ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-121.1759635,45.5922552
"641","The International School","No","None",NA,"Private",0,0,NA,NA,NA,NA,NA,NA,-122.6769293,45.5066432
"642","The Ivy Montessori Public Charter Elementary School","No","Oregon Department of Education","Oregon Department of Education","Public",0,0,NA,NA,NA,NA,NA,NA,-122.6199223,45.5552096
"643","The Madeleine Elementary School","Yes","None",NA,"Private",0,1,30,"Camp Arrah Wanna","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.6418328,45.5461629
"644","The Portland Montessori School","No","None",NA,"Private",0,0,NA,NA,NA,NA,NA,NA,-122.6123583,45.5240514
"645","The Triad School","Yes","None",NA,"Private",1,0,12,"Mountain Lakes Bible Camp","4","3",NA,NA,-121.7396424,42.2050953
"646","The Valley School of Southern Oregon","Yes","Medford SD 549C","Southern Oregon ESD","Public",0,1,33,"Siskiyou Field Institute","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.8767222,42.3390799
"647","Three Rivers Charter School","Yes","West Linn-Wilsonville SD 3J","Clackamas ESD","Public",0,1,22,"Camp Westwind","5","4","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.6120467,45.3606693
"648","Three Rivers Elementary School","Yes","Bend-La Pine Admin SD 1","High Desert ESD","Public",1,0,42,"Camp Tamarack","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-121.4337143,43.8679088
"649","Thurston Middle School","Yes","Springfield SD 19","Lane ESD","Public",0,1,240,"Grove Christian Camp","3","2","Yet, but it DOES NOT CONNECT TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.9166545,44.0547015
"650","Timber Ridge School","No","Greater Albany Public SD 8J","Linn Benton Lincoln ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.0399548,44.6470557
"651","Tobias Elementary School","Yes","Hillsboro SD 1J","Northwest Regional ESD","Public",0,1,69,"Camp Magruder","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.8913363,45.512012
"652","Toledo Elementary School","Yes","Lincoln County SD","Linn Benton Lincoln ESD","Public",0,1,NA,"Drift Creek Camp","4","3",NA,NA,-123.920217,44.6177777
"653","Tom McCall Elementary School","Yes","Redmond SD 2J","High Desert ESD","Public",1,0,130,"Camp Tamarack","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-121.180982,44.3038
"654","Tom McCall Upper Elementary School","No","Forest Grove SD 15","Northwest Regional ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.1231042,45.5207113
"655","Touchstone School","Yes","None",NA,"Private",0,0,NA,"Trickle Creek","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.7142379,45.4276937
"656","Triangle Lake Charter School","No","Blachly SD 90","Lane ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.5453449,44.1943891
"657","Trillium School","Yes","Portland SD 1J","Multnomah ESD","Public",0,1,23,"Camp Angelos","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.6816105,45.5621873
"658","Trinity Lutheran School","Yes","None",NA,"Private",0,1,23,"Washington Family Ranch","3","2","No","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.6064121,45.561965
"659","Trinity Lutheran School","Yes","None",NA,"Private",0,1,11,"Camp Howard","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-121.2661813,44.0852756
"660","Trost Elementary School","Yes","Canby SD 86","Clackamas ESD","Public",0,0,NA,"Camp Magruder","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.6747141,45.2566154
"661","Tumalo Community School","Yes","Redmond SD 2J","High Desert ESD","Public",1,0,60,"Camp Tamarack","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-121.3325765,44.1512089
"662","Twality Middle School","Yes","Tigard-Tualatin SD 23J","Northwest Regional ESD","Public",0,1,330,"Trickle Creek","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.7741331,45.4141637
"663","Two Rivers Dos Rios Elementary School","Yes","Springfield SD 19","Lane ESD","Public",1,0,NA,"Kiwanis Sky Camp",NA,NA,NA,NA,-123.0104595,44.0529028
"664","Ukiah School","No","Ukiah SD 80R","InterMountain ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-118.9329442,45.1360238
"665","Umpqua Valley Christian School","No","None",NA,"Private",0,0,NA,NA,NA,NA,NA,NA,-123.380589,43.142094
"666","Union Elementary School","No","Lake County SD 7","Lake ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-120.4888324,42.1133292
"667","Union Elementary School","Yes","Union SD 5","InterMountain ESD","Public",1,1,50,NA,"1","0","Yes",NA,-117.8662961,45.2068002
"668","Vale Elementary School","No","Vale SD 84","Malheur ESD Region 14","Public",0,0,NA,NA,NA,NA,NA,NA,-117.2422073,43.9785703
"669","Valley Inquiry Charter School","Yes","Salem-Keizer SD 24J","Willamette ESD","Public",1,0,26,"Jawbone Flats","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.9423641,45.0068753
"670","Valor Middle School","No","Woodburn SD 103","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.871413,45.133731
"671","Veneta Elementary School","Yes","Fern Ridge SD 28J","Lane ESD","Public",1,0,50,"Kiwanis Sky Camp","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-123.349389,44.049703
"672","Vern Patrick Elementary School","Yes","Redmond SD 2J","High Desert ESD","Public",1,0,68,"Camp Tamarack","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-121.202964,44.263059
"673","Vernon K-8 School","Yes","Portland SD 1J","Multnomah ESD","Public",0,1,43,"Camp Angelos, Camp Howard","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.6438361,45.5623043
"674","Vernonia Middle School","Yes","Vernonia SD 47J","Northwest Regional ESD","Public",0,1,40,"Cedar Ridge","4","3","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-123.1788483,45.8602675
"675","Vestal Elementary School","Yes","Portland SD 1J","Multnomah ESD","Public",0,1,22,"Camp Howard","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.5796921,45.5246104
"676","Victor Point Elementary School","Yes","Silver Falls SD 4J","Willamette ESD","Public",0,0,NA,"Camp Westwind","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.756297,44.915691
"677","Village School","Yes","Eugene SD 4J","Lane ESD","Public",1,0,26,"Jawbone Flats","2","1","Yes, and it CONNECTS TO STATE STANDARDS",NA,-123.0962634,44.0271686
"678","Vineyard Christian School","No","None",NA,"Private",0,0,NA,NA,NA,NA,NA,NA,-123.383008,42.5434211
"679","Visitation Catholic School","Yes","None",NA,"Private",0,0,NA,"Camp Magruder","4","3","Yes, and it CONNECTS TO STATE STANDARDS",NA,-123.0853197,45.5504563
"680","W L Henry Elementary School","Yes","Hillsboro SD 1J","Northwest Regional ESD","Public",0,1,42,"Cedar Ridge","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.9567401,45.5122432
"681","W Verne McKinney Elementary School","Yes","Hillsboro SD 1J","Northwest Regional ESD","Public",0,1,63,"Trickle Creek","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-122.9951028,45.531024
"682","W W Jones Elementary School","No","Arock SD 81","Malheur ESD Region 14","Public",0,0,NA,NA,NA,NA,NA,NA,-117.525973,42.912837
"683","Waldo Middle School","No","Salem-Keizer SD 24J","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.9988939,44.9618402
"684","Walker Middle School","No","Salem-Keizer SD 24J","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.0602897,44.9467329
"685","Wallowa Elementary School","No","Wallowa SD 12","Region 18 ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-117.5319746,45.5702113
"686","Walt Morey Middle School","Yes","Reynolds SD 7","Multnomah ESD","Public",0,1,182,"Camp Angelos, Camp Namanu","6","5","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.4075617,45.5227563
"687","Walter L Kraxberger Middle School","Yes","Gladstone SD 115","Clackamas ESD","Public",0,1,180,"Twin Rocks Friends Conference","5","4",NA,NA,-122.5855298,45.3943126
"688","Warm Springs K-8 Academy","Yes","Jefferson County SD 509J","Jefferson ESD","Public",0,1,48,"Camp Tamarack","3","2","Yes, and it CONNECTS TO STATE STANDARDS",NA,-121.2566099,44.7579994
"689","Warrenton Grade School","No","Warrenton-Hammond SD 30","Northwest Regional ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.9305754,46.1594624
"690","Wascher Elementary School","No","McMinnville SD 40","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.106383,45.247538
"691","Washington Elementary School","No","Medford SD 549C","Southern Oregon ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.8833993,42.3170117
"692","Washington Elementary School","No","Woodburn SD 103","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.8463843,45.1441296
"693","Waverly Elementary School","No","Greater Albany Public SD 8J","Linn Benton Lincoln ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.0773015,44.6371802
"694","Weddle Elementary School","No","Salem-Keizer SD 24J","Willamette ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-123.0124846,44.9858
"695","Welches Middle School","Yes","Oregon Trail SD 46","Clackamas ESD","Public",0,1,33,"Camp Namanu","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-121.9469107,45.3436066
"696","West Hills Montessori School-Vermont","Yes","None",NA,"Private",0,0,0,"Coastal Discovery Center at Camp Gray, Oregon Zoo","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE SOME accommodations so our program is accessible for all students",-122.7279689,45.476023
"697","West Orient Middle School","Yes","Gresham-Barlow SD 10J","Multnomah ESD","Public",0,1,122,"Camp Angelos, Camp Arrah Wanna, Camp Howard, Camp Namanu","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.3565602,45.4689477
"698","West Park Elementary School","Yes","Hermiston SD 8","InterMountain ESD","Public",1,0,150,"Camp Meadowood Springs","3","2",NA,NA,-119.2993595,45.8368368
"699","West Sylvan Middle School","Yes","Portland SD 1J","Multnomah ESD","Public",0,1,246,"Camp Angelos, Camp Arrah Wanna, Camp Howard, Camp Namanu",NA,NA,NA,NA,-122.7608351,45.5047072
"700","West Tualatin View Elementary School","Yes","Beaverton SD 48J","Northwest Regional ESD","Public",1,0,46,"Cedar Ridge","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.767198,45.515094
"701","West Union Elementary School","Yes","Hillsboro SD 1J","Northwest Regional ESD","Public",0,1,NA,"Camp Magruder","3","2","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.9240197,45.5771128
"702","Weston Middle School","No","Athena-Weston SD 29RJ","InterMountain ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-118.4232103,45.8121224
"703","Westridge Elementary School","No","Lake Oswego SD 7J","Clackamas ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.7120241,45.3950349
"704","Westside Village Magnet School at Kingston Elementary School","Yes","Bend-La Pine Admin SD 1","High Desert ESD","Public",1,1,54,"Jawbone Flats","2","1","Yes, and it CONNECTS TO STATE STANDARDS",NA,-121.3294344,44.0602534
"705","Wheatley School","Yes","None","Multnomah ESD","Public",0,1,26,"Camp Angelos","1","0","Yes, and it CONNECTS TO STATE STANDARDS","We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students",-122.517159,45.539539
"706","White Mountain Middle School","No","Eagle Point SD 9","Southern Oregon ESD","Public",0,0,NA,NA,NA,NA,NA,NA,-122.8290812,42.4380488
