School Name – City,School Name,District,ESD,Sister school,Street Address,City,State,Zip,County,Phone,Lowest grade,Highest grade,Grade level,Governance,Type of school,State ID,Contact person role,Contact person name,Email,ODS notes,"If your school is not listed above, please enter its name below.",Did your school participate in Outdoor School in the 2016-2017 school year?,How many students from your school participated in Outdoor School in the 2016-2017 school year?,Which grades participated in Outdoor School in the 2016-2017 school year?,Which camp or camps did students at your school attend for Outdoor School in the 2016-2017 school year?,How many DAYS does your Outdoor School program last?,How many NIGHTS does your Outdoor School program last?,Which provider(s) do you contract with to plan your Outdoor School experience?,Does your Outdoor School program have an academic component?,Who develops the curriculum that you use for Outdoor School?,"In addition to classroom teachers, who do you use to staff your Outdoor School program?",To what degree are you able to make accommodations to ensure that the Outdoor School program is accessible for all students?,How many years has your school sent students to Outdoor School?,Has your school sent students to Outdoor School prior to the 2016-2017 school year?,When was the last time that students participated in Outdoor School?,Which camp or camps did students attend the last time your school participated in Outdoor School?,Why did your school stop sending students to Outdoor School?,Is your school interested in starting an Outdoor School program in the future?,When do you think your might be ready to start an Outdoor School program?,"How familiar, if at all, are you with Measure 99, which passed in November 2016 and dedicates funding to schools to send students to Outdoor School?","How familiar, if at all, are you with the role that Oregon State Extension plays in funding Outdoor School programs?",Do you have any other comments about Outdoor School?,Notes,2015-16 Total Enrollment,2016-17 Total Enrollment,2016-17  Male,"2016-17 
% Male",2016-17 Female,"2016-17
% Female",2016-17 American Indian/ Alaska Native,"2016-17
% American Indian/ Alaska Native ",2016-17 Asian,"2016-17
% Asian ",2016-17 Native Hawaiian/ Pacific Islander,"2016-17 
% Native Hawaiian/ Pacific Islander ",2016-17 Black/African American,"2016-17
% Black/ African American ",2016-17 Hispanic/ Latino,"2016-17
% Hispanic/ Latino",2016-17 White,"2016-17 
% White ",2016-17 Multiracial,"2016-17
% Multiracial ",2016-17 Kindergarten,2016-17 Grade One,2016-17 Grade Two,2016-17 Grade Three,2016-17 Grade Four,2016-17 Grade Five,2016-17 Grade Six,2016-17 Grade Seven,2016-17 Grade Eight,2016-17 Grade Nine,2016-17 Grade Ten,2016-17 Grade Eleven,2016-17 Grade Twelve,Done,Sister school (opposite direction),lon,lat,MS,Good interview candidate
Arata Creek School – Troutdale,Arata Creek School,Multnomah ESD,Multnomah ESD,,2470 SW Halsey,Troutdale,OR,97060,Multnomah,503-262-4850,K,12,Other,Public,Alternative School,3168,Principal,Joni Tolon,joni_tolon@mesd.k12.or.us,,,Yes,5,"5th grade, 6th grade, 7th grade",Camp Arrah Wanna,5,4,Multnomah County ESD,"Yes, and it CONNECTS TO STATE STANDARDS",School staff develop the curriculum,"Group home staff, Program provider staff",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,15,,,,,,,VERY FAMILIAR with Measure 99,VERY FAMILIAR with the role OSU Extension plays,,,31,45,42,93.3%,3,6.7%,1,2.2%,,0%,,0%,7,15.6%,3,6.7%,30,66.7%,4,8.9%,,4,5,4,5,4,7,7,6,3,,,,false,,-122.4131516,45.5342963,,
Arbor School Of Arts & Sciences – Tualatin,Arbor School Of Arts & Sciences,,,,4201 SW Borland Rd,Tualatin,OR,97062,Clackamas,503-638-6399,K,8,Other,Private,Regular School,,,,info@arborschool.org,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,-122.7198602,45.3759514,,
St Rose School – Portland,St Rose School,,,,5309 NE Alameda St,Portland,OR,97213,Multnomah,503-281-1912,PK,8,Other,Private,Regular School,,,,kasbury@strosepdx.org,,St. Rose School (formerly Archbishop Howard School,Yes,28,6th grade,Camp Namanu,6,5,Multnomah County ESD,"Yes, and it CONNECTS TO STATE STANDARDS",We use curriculum developed by an outside provider,Program provider staff,We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,22,,,,,,,VERY FAMILIAR with Measure 99,SOMEWHAT FAMILIAR with the role OSU Extension plays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,-122.6080966,45.5423508,,
Archer Glen Elementary School – Sherwood,Archer Glen Elementary School,Sherwood SD 88J,Northwest Regional ESD,Sherwood Middle School – Sherwood,16155 SW Sunset Blvd,Sherwood,OR,97140,Washington,503-825-5100,K,5,Elementary,Public,Regular School,1334,Principal,Tim Smith,tasmith@sherwood.k12.or.us,,,Sister school did,,,,,,,,,,,,,,,,,,,,,,525,541,289,53.4%,252,46.6%,2,0.4%,10,1.8%,1,0.2%,5,0.9%,45,8.3%,453,83.7%,25,4.6%,62,106,85,97,91,100,,,,,,,,false,Sherwood Middle School – Sherwood,-122.8435234,45.3505438,Sherwood Middle School,
Arco Iris Spanish Immersion School – Portland,Arco Iris Spanish Immersion School,Beaverton SD 48J,Northwest Regional ESD,,13600 SW Allen Blvd,Portland,OR,97005,Washington,503-473-0416,1,8,Other,Public,Charter School,4805,Principal,Erin Miles,erin.miles@arcoirisschool.org,,,Yes,24,6th grade,Cedar Ridge,4,3,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS",,,,,,,,,,,,,,,263,299,136,45.5%,163,54.5%,2,0.7%,9,3%,3,1%,5,1.7%,115,38.5%,133,44.5%,32,10.7%,,56,51,50,49,44,24,14,11,,,,,true,,-122.8183344,45.4761261,,
Ardenwald Elementary School – Milwaukie,Ardenwald Elementary School,North Clackamas SD 12,Clackamas ESD,Rowe Middle School – Milwaukie,8950 SE 36th St,Milwaukie,OR,97222,Clackamas,503-353-5320,K,5,Elementary,Public,Regular School,4762,Principal,Karon Webster,websterk@nclack.k12.or.us,,,Sister school did,,,,,,,,,,,,,,,,,,,,,,486,442,240,54.3%,202,45.7%,2,0.5%,7,1.6%,2,0.5%,3,0.7%,94,21.3%,302,68.3%,32,7.2%,71,87,66,76,81,61,,,,,,,,false,Rowe Middle School – Milwaukie,-122.6242443,45.4578183,Rowe Middle School,
Arleta K-8 School – Portland,Arleta K-8 School,Portland SD 1J,Multnomah ESD,,"5109 SE 66th Ave,",Portland,OR,97206,Multnomah,503-916-6330,K,8,Other,Public,Regular School,826,Principal,Seth Jones,sjones3@pps.net,,,Yes,39,6th grade,"Camp Arrah Wanna, Camp Howard",6,5,Multnomah County ESD,"Yes, and it CONNECTS TO STATE STANDARDS",Multnomah ESD,Program provider staff,We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,50,,,,,,,,,,,456,457,226,49.5%,231,50.5%,5,1.1%,46,10.1%,,0%,17,3.7%,73,16%,274,60%,42,9.2%,63,47,49,64,57,52,42,34,49,,,,,true,,-122.5968135,45.486162,,
Arlington Community Charter School – Arlington,Arlington Community Charter School,Arlington SD 3,North Central ESD,,1200 Main St,Arlington,OR,97812,Gilliam,541-454-2632,K,12,Other,Public,Regular School,323,Principal,Kevin Hunking,khunking@arlington.k12.or.us,,,Yes,26,6th grade,Tupper Workstation,5,4,,"Yes, and it CONNECTS TO STATE STANDARDS",School staff develop the curriculum,"State agency or community resource experts (e.g. watershed council personnel or Fish & Wildlife staff), High school mentors",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,,,,,,,,,,,,161,164,89,54.3%,75,45.7%,4,2.4%,,0%,,0%,,0%,25,15.2%,128,78%,7,4.3%,7,14,11,10,14,11,19,9,10,12,13,15,19,false,,-120.1999591,45.712426,,
Armadillo Technical Institute – Phoenix,Armadillo Technical Institute,Phoenix-Talent SD 4,Southern Oregon ESD,,106 Rose St,Phoenix,OR,97535,Jackson,541-535-3287,6,12,Other,Public,Charter School,3247,Director,Kim De Costa,info@armadillotech.org,Left # with secretary 9/7,,No,,,,,,,,,,,,,,,,I'm not sure,,,,,,85,96,62,64.6%,34,35.4%,,0%,1,1%,,0%,2,2.1%,11,11.5%,75,78.1%,7,7.3%,,,,,,,2,3,7,19,17,19,29,false,,-122.8180989,42.2715905,,
Armand Larive Middle School – Hermiston,Armand Larive Middle School,Hermiston SD 8,InterMountain ESD,"Desert View Elementary School – Hermiston, Rocky Heights Elementary School – Hermiston, West Park Elementary School – Hermiston",1497 SW 9th St,Hermiston,OR,97838,Umatilla,541-667-6200,6,8,Middle,Public,Regular School,1039,Principal,Stacie Roberts,stacie.roberts@hermiston.k12.or.us,,,Sister school did,,,,,,,,,,,,,,,,,,,,,,704,757,379,50.1%,378,49.9%,1,0.1%,5,0.7%,,0%,2,0.3%,378,49.9%,355,46.9%,16,2.1%,,,,,,,265,256,236,,,,,false,"Desert View Elementary School – Hermiston, Rocky Heights Elementary School – Hermiston, West Park Elementary School – Hermiston",-119.3029692,45.82628,,
Arthur Academy – Portland,Arthur Academy,David Douglas SD 40,Multnomah ESD,Alice Ott Middle School – Portland,13717 SE Division St.,Portland,OR,97236,Multnomah,503-252-3753,K,5,Elementary,Public,Charter School,3580,Principal,Stephanie Walker,swalker@arthuracademy.org,,,Yes,24,5th grade,Audubon Marmot Cabin,2,1,Audubon Society,"Yes, and it CONNECTS TO STATE STANDARDS",Audubon Society,"Program provider staff, Parent volunteers, Principal",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,7,,,,,,,NOT AT ALL FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,,,158,156,75,48.1%,81,51.9%,1,0.6%,19,12.2%,3,1.9%,8,5.1%,16,10.3%,92,59%,17,10.9%,30,29,26,29,23,19,,,,,,,,true,Alice Ott Middle School – Portland,-122.5221382,45.5042727,Alice Ott Middle School,
Arts and Communication Magnet Academy – Beaverton,Arts and Communication Magnet Academy,Beaverton SD 48J,Northwest Regional ESD,,11375 SW Center St,Beaverton,OR,97005,Washington,503-356-3670,6,12,Other,Public,Regular School,1304,Principal,Michael Johnson,michael_johnson@beaverton.k12.or.us,Emailed John Jackson 8/7,,No,,,,,,,,,,,,,,,,,,,,,,718,713,182,25.5%,531,74.5%,5,0.7%,34,4.8%,2,0.3%,9,1.3%,112,15.7%,478,67%,73,10.2%,,,,,,,115,114,115,103,97,79,90,false,,-122.7943591,45.4949521,,
Arts and Technology Academy at Jefferson – Eugene,Arts and Technology Academy at Jefferson,Eugene SD 4J,Lane ESD,"Adams Elementary School – Eugene, Cesar Chavez Elementary School – Eugene",1650 W 22nd Ave,Eugene,OR,97405,Lane,541-790-5700,6,8,Middle,Public,Regular School,4554,Principal,Linda O'Shea,oshea_l@4j.lane.edu,,,,,,,,,,,,,,,,,,,,,,,,,312,351,171,48.7%,180,51.3%,7,2%,11,3.1%,2,0.6%,9,2.6%,77,21.9%,207,59%,38,10.8%,,,,,,,137,118,96,,,,,false,"Cesar Chavez Elementary School – Eugene, Adams Elementary School – Eugene",-123.1151594,44.0356688,,
Ash Creek Elementary School – Monmouth,Ash Creek Elementary School,Central SD 13J,Willamette ESD,Talmadge Middle School – Independence,1360 N 16th St,Monmouth,OR,97361,Polk,503-606-9016,K,5,Elementary,Public,Regular School,3464,Principal,Craig Harlow,CHarlow@central.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,541,566,290,51.2%,276,48.8%,5,0.9%,1,0.2%,,0%,11,1.9%,278,49.1%,238,42%,33,5.8%,105,78,92,103,89,99,,,,,,,,false,Talmadge Middle School – Independence,-123.2126041,44.8618787,Talmadge Middle School,
Ashbrook Independent School – Corvallis,Ashbrook Independent School,,,,4045 SW Research Way,Corvallis,OR,97333,Benton,541-766-8313,PK,8,Other,Private,Regular School,,,,None listed,,,Yes,48,"6th grade, 7th grade, 8th grade",Coastal Discovery Center at Camp Gray,5,4,OMSI,"Yes, and it CONNECTS TO STATE STANDARDS",OMSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,-123.294245,44.5512922,,
Ashland Middle School – Ashland,Ashland Middle School,Ashland SD 5,Southern Oregon ESD,"Bellview Elementary School – Ashland, Helman Elementary School – Ashland, Walker Elementary School – Ashland",100 Walker Ave,Ashland,OR,97520,Jackson,541-482-1611,6,8,Middle,Public,Regular School,380,Principal,Steve Retzlaff,steve.retzlaff@ashland.k12.or.us,,,Yes,180,6th grade,Mountain Lakes Bible Camp,3,2,Southern Oregon University,"Yes, and it CONNECTS TO STATE STANDARDS",School staff develop the curriculum,"Program provider staff, Parent volunteers, High school mentors",We are ABLE TO MAKE SOME accommodations so our program is accessible for all students,30,,,,,,,VERY FAMILIAR with Measure 99,SOMEWHAT FAMILIAR with the role OSU Extension plays,,,566,579,299,51.6%,280,48.4%,2,0.3%,8,1.4%,1,0.2%,12,2.1%,48,8.3%,457,78.9%,51,8.8%,,,,,,,186,201,192,,,,,true,"Bellview Elementary School – Ashland, Helman Elementary School – Ashland, Walker Elementary School – Ashland",-122.686706,42.192639,,
Ashwood Elementary School – Ashwood,Ashwood Elementary School,Ashwood SD 8,Jefferson ESD,,18624 NE Main,Ashwood,OR,97711,Jefferson,,K,6,Elementary,Public,Regular School,427,Head Teacher,,mfriend@ashwood.k12.or.us,,,No,,,,,,,,,,,,I'm not sure,,,,A BIT interested,2018/2019 school year,NOT AT ALL FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,-120.7561827,44.7355309,,
Astor Elementary School – Portland,Astor Elementary School,Portland SD 1J,Multnomah ESD,,5601 N Yale St,Portland,OR,97203,Multnomah,503-916-6244,K,8,Other,Public,Regular School,827,Principal,Karl Newsome,knewsome@pps.net,,,Yes,46,6th grade,"Camp Arrah Wanna, Camp Angelos",6,5,Multnomah County ESD,"Yes, and it CONNECTS TO STATE STANDARDS",Multnomah ESD,Program provider staff,We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,,,,,,,,,,,,497,455,220,48.4%,235,51.6%,9,2%,8,1.8%,4,0.9%,42,9.2%,69,15.2%,273,60%,50,11%,61,54,50,68,42,43,53,46,38,,,,,false,,-122.7296365,45.5786686,,
Astoria Middle School – Astoria,Astoria Middle School,Astoria SD 1,Northwest Regional ESD,Lewis & Clark Elementary School – Astoria,1100 Klaskanine Ave,Astoria,OR,97103,Clatsop,503-325-4331,6,8,Middle,Public,Regular School,144,Principal,Linda Berger,lberger@astoria.k12.or.us,,,Sister school did,,,,,,,,,,,,,,,,,,,,,,452,404,207,51.2%,197,48.8%,1,0.2%,8,2%,2,0.5%,1,0.2%,64,15.8%,313,77.5%,15,3.7%,,,,,,,113,144,147,,,,,false,Lewis & Clark Elementary School – Astoria,-123.831098,46.178659,,
Athey Creek Middle School – West Linn,Athey Creek Middle School,West Linn-Wilsonville SD 3J,Clackamas ESD,"Stafford Primary – West Linn, Willamette Primary School – West Linn",2900 SW Borland Rd,West Linn,OR,97062,Clackamas,503-673-7400,6,8,Middle,Public,Regular School,1287,Principal,Joel Sebastian,sebastij@wlwv.k12.or.us,Note 12,,Yes,220,6th grade,"Cedar Ridge, Trickle Creek",4,3,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS",We use curriculum developed by an outside provider,"Program provider staff, High school mentors",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,10,,,,,,,VERY FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,"I really appreciate the opportunity for students to attend outdoor school. It is incredible valuable for students to have the experience of seeing and looking into an environment they don't often look into. However, I also believe the outdoor school programs we have attended through NWRSED seem to focus too much on the learning of too many small factoids that, while relevant to the outdoor location and our middle school standards, I could teach students in the class. I think their program could benefit from a shift in focus towards observation and inquiry into the environment around them. I've spent most of my professional career working with students in the natural world from time to time, often with kids who never go outdoors. Really, when students head into these unfamiliar environments for the first time, they need the time to slow down and observe what is around them. A good program, in my mind, structures for that. Less transitioning from place to place, and longer time to observe, journal, communicate observations, develop inquiry into the natural world based on those questions and observations, collect data, make comparisons, and draw conclusions. 

That being said, I don't want to downplay how good of a job the NWRESD staff does at engaging students and keeping them interested throughout the week. My students always return with positive views of their experience and having learned more than they arrived at camp with. I just think as a science instructor, I see a wonderful opportunity in outdoor school for students to think like a scientist working in the field things, and believe the programming the state promotes should develop with focused attention on the inquiry and engineering standards, not content specific facts. I also think we as science teachers could do a lot of content specific prep to build some initial background knowledge so students arrive at camp. If the camps could provide that to us beforehand, then students would have a content foundation to build inquiry around.",,657,662,362,54.7%,300,45.3%,1,0.2%,36,5.4%,,0%,10,1.5%,30,4.5%,550,83.1%,35,5.3%,,,,,,,225,213,224,,,,,true,"Stafford Primary – West Linn, Willamette Primary School – West Linn",-122.7064859,45.3776918,,
Atkinson Elementary School – Portland,Atkinson Elementary School,Portland SD 1J,Multnomah ESD,Mt Tabor Middle School – Portland,5800 SE Division St,Portland,OR,97206,Multnomah,503-916-6333,K,5,Elementary,Public,Regular School,828,Principal,Ivonne Dibblee,idibblee@pps.net,,,Sister school did,,,,,,,,,,,,,,,,,,,,,,435,430,226,52.6%,204,47.4%,2,0.5%,31,7.2%,,0%,10,2.3%,114,26.5%,248,57.7%,25,5.8%,66,73,68,81,72,70,,,,,,,,false,Mt Tabor Middle School – Portland,-122.6049222,45.5050305,Mt Tabor Middle School,
Auburn Elementary School – Salem,Auburn Elementary School,Salem-Keizer SD 24J,Willamette ESD,Houck Middle School – Salem,4612 Auburn Rd NE,Salem,OR,97301,Marion,503-399-3128,K,5,Elementary,Public,Regular School,728,Principal,Sue Luthra,luthra_susan@salkeiz.k12.or.us,,,Yes,84,5th grade,Camp Cascade Conference and Retreat Center,3,2,,,,,,,,,,,,,,,,,653,683,338,49.5%,345,50.5%,3,0.4%,11,1.6%,16,2.3%,5,0.7%,430,63%,204,29.9%,14,2%,121,104,93,128,126,111,,,,,,,,false,Houck Middle School – Salem,-122.9709096,44.936211,Houck Middle School,
Aumsville Elementary School – Aumsville,Aumsville Elementary School,Cascade SD 5,Willamette ESD,Cascade Junior High School – Turner,572 N 11th St,Aumsville,OR,97325,Marion,503-749-8040,K,5,Elementary,Public,Regular School,719,Principal,Cyndi Ganfield,cganfield@cascade.k12.or.us,,,Sister school did,,,,,,,,,,,,,,,,,,,,,,559,573,288,50.3%,285,49.7%,10,1.7%,9,1.6%,3,0.5%,4,0.7%,114,19.9%,426,74.3%,7,1.2%,83,100,94,113,78,105,,,,,,,,false,Cascade Junior High School – Turner,-122.875721,44.848732,Cascade Junior High School,
Awbrey Park Elementary School – Eugene,Awbrey Park Elementary School,Eugene SD 4J,Lane ESD,James Madison Middle School – Eugene,158 Spring Creek Dr,Eugene,OR,97404,Lane,541-790-4050,K,5,Elementary,Public,Regular School,504,Principal,Mike Riplinger,riplinger_m@4j.lane.edu,,,No,,,,,,,,,,,,,,,,,,,,,,415,444,239,53.8%,205,46.2%,7,1.6%,,0%,,0%,1,0.2%,53,11.9%,360,81.1%,23,5.2%,72,78,58,77,73,86,,,,,,,,false,James Madison Middle School – Eugene,-123.13787,44.1236542,Madison Middle School,
Azalea Middle School – Brookings,Azalea Middle School,Brookings-Harbor SD 17C,South Coast ESD,Kalmiopsis Elementary School – Brookings,505 Pacific Ave,Brookings,OR,97415,Curry,541-469-7427,6,8,Middle,Public,Regular School,235,Principal,Nicole Medrano,nicolem@brookings.k12.or.us,"Statia Ryder says: ""No schools currently participate with an Outdoor School Program.  They all partner with Curry Watersheds Education Program and participate with field trips and Adopt-a-Stream projects, but no overnight programs to my knowledge.""",,No,,,,,,,,,,,,,,,,,,,,,,368,359,177,49.3%,182,50.7%,16,4.5%,2,0.6%,1,0.3%,3,0.8%,46,12.8%,208,57.9%,83,23.1%,,,,,,,105,131,123,,,,,false,Kalmiopsis Elementary School – Brookings,-124.2814747,42.0560617,,
Baker Web Academy – Baker City,Baker Web Academy,Baker SD 5J,InterMountain ESD,,2725 7th St,Baker City,OR,97814,Baker,,K,12,Other,Public,Charter School,4728,Director,Roland Hobson,rhobson@bakercharters.org,In discussions to do ODS in 2017-2018,,No,,,,,,,,,,,,No,,,,,,,,,,730,1032,491,47.6%,541,52.4%,19,1.8%,19,1.8%,2,0.2%,20,1.9%,90,8.7%,856,82.9%,26,2.5%,60,49,57,48,63,64,85,86,121,125,116,94,64,false,,-117.8383032,44.7840258,,
Banks Elementary School – Banks,Banks Elementary School,Banks SD 13,Northwest Regional ESD,Banks Middle School – Banks,42350 NW Trellis Way,Banks,OR,97106,Washington,503-324-2772,K,5,Elementary,Public,Regular School,1120,Principal,Darla Waite-Larkin,darlawl@banks.k12.or.us,,,Yes,87,5th grade,Camp Westwind,4,3,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS",We use curriculum developed by an outside provider,Program provider staff,We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,20,,,,,,,SOMEWHAT FAMILIAR with Measure 99,SOMEWHAT FAMILIAR with the role OSU Extension plays,"Great program for kids, improvement is needed in the recruitment and training of high quality high school counselors. High school teachers could be more supportive in encouraging quality students to miss a week of class to volunteer at outdoor school.",,435,479,265,55.3%,214,44.7%,1,0.2%,6,1.3%,3,0.6%,,0%,41,8.6%,397,82.9%,31,6.5%,78,73,81,89,77,81,,,,,,,,true,Banks Middle School – Banks,-123.1134114,45.6115762,Banks Middle School,
Banks Middle School – Banks,Banks Middle School,Banks SD 13,Northwest Regional ESD,Banks Elementary School – Banks,12850 NW Main St,Banks,OR,97106,Washington,503-324-3111,6,8,Middle,Public,Regular School,1123,Principal,Shelley Mitchell,shelleym@banks.k12.or.us,,Banks Elementary School now attends outdoor school,Sister school did,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,Banks Elementary School – Banks,-123.1128015,45.6133449,,
Barnes Butte Elementary School – Prineville,Barnes Butte Elementary School,Crook County SD,High Desert ESD,Crook County Middle School – Prineville,1875 NE Ironhorse Dr,Prineville,OR,97754,Crook,541-416-4150,K,5,Elementary,Public,Regular School,5302,Principal,Jim Bates,jim.bates@crookcounty.k12.or.us,,,Sister school did,,,,,,,,,,,,,,,,,,,,,,646,650,325,50%,325,50%,14,2.2%,3,0.5%,,0%,1,0.2%,173,26.6%,414,63.7%,45,6.9%,103,109,101,119,111,107,,,,,,,,false,Crook County Middle School – Prineville,-120.8249777,44.3075239,Crook County Middle School,
Barnes Elementary School – Beaverton,Barnes Elementary School,Beaverton SD 48J,Northwest Regional ESD,Meadow Park Middle School – Beaverton,13730 SW Walker Rd,Beaverton,OR,97005,Washington,503-356-2130,K,5,Elementary,Public,Regular School,1154,Principal,Veronica Jones,veronica_jones@beaverton.k12.or.us,,,Sister school did,,,,,,,,,,,,,,,,,,,,,,677,651,323,49.6%,328,50.4%,7,1.1%,21,3.2%,2,0.3%,30,4.6%,351,53.9%,206,31.6%,34,5.2%,99,101,122,118,113,98,,,,,,,,false,Meadow Park Middle School – Beaverton,-122.8185899,45.5061449,Meadow Park Middle School,
Battle Creek Elementary School – Salem,Battle Creek Elementary School,Salem-Keizer SD 24J,Willamette ESD,Judson Middle School – Salem,1640 Waln Dr SE,Salem,OR,97306,Marion,503-399-2062,K,5,Elementary,Public,Regular School,5066,Principal,Linda Dougherty,dougherty_linda@salkeiz.k12.or.us,,,No,,,,,,,,,,,,,,,,,,,,,,542,582,287,49.3%,295,50.7%,6,1%,8,1.4%,9,1.5%,10,1.7%,61,10.5%,447,76.8%,41,7%,94,111,102,102,85,88,,,,,,,,false,Judson Middle School – Salem,-123.0261548,44.8639659,Judson Middle School,
Beach Elementary School – Portland,Beach Elementary School,Portland SD 1J,Multnomah ESD,Ockley Green Middle School – Portland,1710 N Humboldt St,Portland,OR,97217,Multnomah,503-916-6236,PK,5,Elementary,Public,Regular School,830,Principal,Vanessa Martinez,vmartinez@pps.net,,,Sister school did,,,,,,,,,,,,,,,,,,,,,,631,464,231,49.8%,233,50.2%,3,0.6%,5,1.1%,5,1.1%,55,11.9%,175,37.7%,190,40.9%,31,6.7%,82,86,85,74,71,66,,,,,,,,false,Ockley Green Middle School – Portland,-122.6855506,45.5576313,,
