Camp Name,Camp Owner,County,Website,Contact Name,Role,Email,Phone,Camp physical address,Camp mailing address,Do you currently provide facilities for outdoor school program(s)?,"If yes, please list school(s) and/or district(s) you serve:","If yes, list the number of weeks you provide & number of students served each school year:",Camp capacity follow-up: provided ODS in Spring 2016?,"If yes, is your camp utilized at full capacity? Or would you be able to host additional schools/providers?",Camp capacity follow-up: at full capacity?,Camp capacity follow-up comments,"If you do NOT currently provide facilities for outdoor school programs, have you done so in the past? ","If yes, please list schools and/or districts previously served, and when: ","If yes, why did you stop providing facilities for outdoor school programs? ","If you do NOT currently provide facilities to outdoor school programs, are you interested in doing so?","If no, please share your reason(s): ",Does your facility currently offer its own outdoor school program(s)?,"If yes, please describe your program(s). List web pages, if available: ","If yes, checkmark the academic standards with which the curriculum aligns (check all that apply):","Please list/explain any other specialty programming or resources your camp offers: (Art studio, blacksmithing, archery, etc.)","If you do not currently provide outdoor school programs, are you interested in doing so?","Does your camp have, or can it secure, liability insurance that meets the industry standard?",Does your camp provide program staff?,Does your camp provide a nurse or other health care professional?,Does your camp provide maintenance staff?,Does your camp provide food service staff?,Does your camp provide custodial/cleaning staff?,Is at least one of your staff (such as a caretaker) onsite at all times while camp is in session?,Camp acreage,Maximum overnight capacity,Maximum dining capacity,Does your camp have a commercial kitchen?,Dietary Needs?,Is your camp ACA accredited?,Please list any other accreditation:,Please checkmark the facilities at your camp that are ADA accessible: (Check all that apply),Are current/potential field study areas ADA accessible?,"If no, could reasonable accommodations be made to ensure all students can participate in field studies?",Please describe any accommodations needed:,"Please checkmark facilities that are weatherized (heat and insulation): (Check all that apply)

",Please checkmark your camp's bathroom facilities: (Check all that apply),Any additional information about your bathroom facilities:,Choose seasons your facility is/can be available for outdoor school: (Check all that apply),Any additional information about your seasonal availability:,Do you have sleeping units available for adult staff that are separate from student sleeping units?,"If yes, please describe: ","Other amenities/field study resources: Most outdoor school programs teach 4 field studies: water, soil, plants and animals. (Check all that apply) Ropes Course, Climbing wall, Pool, Forested Areas, Meadowland, Trails.",Campfire space(s)?,"If yes, how many and seating capacity of each campfire:","Access to water (lake, pond, river, stream, etc.)","If yes, please describe: ",Covered outdoor spaces?,"If yes, how many and dimensions: ",Other amenities/resources?,Please describe the other amenities/resources,Is there any other information about your facility you’d like us to know?,Please list any other camps in your region that might be interested in participating:,"To receive updates on the progress to fund and implement the Outdoor School Law, please list names and email(s) below:","Notes
","""Notes by Friends of Outdoor School
""",Schools,Coordinates,lon,lat,Schools
Fir Point Bible Conference,Fir Point Bible Conference and American Missionary Fellowship,Douglas,firpoint.org,Dennis and Janice May,Conference Administrator,firpoint@juno.com,541-832-2202,"760 Fir Point Ln Glendale, OR 97442",PO Box 1050 Glendale OR 97442,,,,No,,Our camp did NOT provide facilities for Outdoor School programs during Spring 2016,,,,,,,,,,"sports,",,,,,,yes*,,,240,140,"104 indoor, 120 outdoor",yes,,,,,,,,,"Showers in separate bathroom facility, Plumbed toilets in separate bathroom facility",,,,,,"Pool, forested areas",Campfire spaces,,,,,,,,,,,,,,,-123.407041,42.7626909,
Camp Harlow,First Baptist Church of Eugene,Lane,http://www.campharlow.com/,Alli Beckham,Guest Services,allib@campharlow.com,541.683.5416 x403,"3850 Country Farm Rd Eugene, OR 97408",,No,,,,,,,Yes (From Survey #1),"Eugene Christian School and they have had a wonderful time with us! While we have hosted them, we have provided the facilities and food, planning and coordinating is up to our guests.",,,,,,,"swimming, canoeing, skits, team-building, singing, crafting, go-karting, bumper boating, sports",,,,,,,,,,238,200,yes,,,,3 or less of sleeping units,,,,"All sleeping units, Dining hall, Bathroom facilities","Plumbed toilets in sleeping unit, Showers in sleeping unit",,,,,,"climbing wall, pool,",campfire spaces,600,,,,,,,,,,,,,,-123.0638376,44.1057807,
Twin Rocks Friends Conference,Friends Church on the OR Coast,Tillamook,http://www.twinrocks.org/,Joel Thomas,Outdoor Education Director,joel@twinrocks.org,503-355-2284 ext.114,"18705 Highway 101 N, Rockaway Beach, OR","P.O. Box 6 / 18705 Highway 101N, Rockaway Beach, Oregon 97136",Yes,,,,,,,,,,,,"Yes. Twin Rocks Friends Camp currently conducts an outdoor school program, employing a full-time Outdoor Education Director named Joel Thomas. Twin Rocks conducts about 20 outdoor education programs each year, serving approximately 1,700 students. Some of these programs are turnkey programs, where Twin Rocks oversees all elements of the program. Others are strictly rental groups which rely on Twin Rocks solely for food/lodging and do all of their own programming. And other programs are a hybrid, utilizing Twin Rocks' outdoor education curriculum and expertise for a portion of their programming.",https://www.odspartnership.org/programs1.html  https://www.odspartnership.org/resource-library/curriculum-library,,sports,,,yes 1,,,,,,120,350,350,yes,"Special assistance is available for some individuals with specific dietary needs, including diabetics and vegetarians.",Yes,,,,,,"All sleeping units, Dining hall, Bathroom facilities",Plumbed toilets in sleeping unit,,,,,,"trails, forested areas",campfire spaces,,access to water,"Wetlands Walk, a freshwater stream, tide pools in Tillamook Bay (3 miles
 south of camp), and the Pacific Ocean (one block west of camp)",,,,"An athletic field, miniature golf, swimming/boating on Spring Lake, disc
 golf, beach volleyball, an arts/crafts building, and a gymnasium/game 
room",,,,,,"East Elementary School – Tillamook, Mabel Rush Elementary School – Newberg, Santiam Elementary School – Mill City, Dundee Elementary School – Dundee, North Clackamas Christian School – Oregon City, Columbus Elementary School – McMinnville, Joan Austin Elementary School – Newberg, Antonia Crater Elementary School – Newberg, Life Christian School – Aloha, Walter L Kraxberger Middle School – Gladstone, Valor Christian School – Beaverton, Horizon Christian Elementary School & Middle School – Tualatin",,-123.9473899,45.5926081,
Camp Arrowhead,Girl Scouts of Oregon and Southwest Washington,"Skamania, WA",www.girlscoutsosw.org/camp,Allie McVay,Outdoor Program Manager,amcvay@girlscoutsosw.org,503-977-6823,"101 Arrowhead Road, Stevenson, WA 98648","101 Arrowhead Road, Stevenson, WA 98648",No,,,Yes,,"NO, we could have hosted additional schools",We have very minimal utilization of our property for outdoor schools.,Yes,Very rarely - Just random school that would find our sites,We did not peruse them. We were only used if they were interested.,Yes,,No,,,"Art hut, archery, canoeing, rock climbing",Maybe - need more information,Yes,Only June - August,Only June - August,Yes,Only June - August,No,Yes,266,250,150,Yes,"Vegetarian, vegan, lactose free, gluten free",No,,Dining hall,Would need more information to determine,Would need more information to determine,,Dining hall,"Plumbed toilets in separate bathroom facility, Showers in separate bathroom facility",Each sleeping unit has a unit house with two flush toilets and two showers.,"Winter, Spring, Fall",Resident camp June -August,Yes,There are multiple sleeping units. One could be set aside for adults. In the summer the adults in the sleeping unit share a cabin of four.,"Climbing wall, Pool, Forested areas, Meadowland, Trails",Campfire space(s),100,"Access to water (lake, pond, river, stream, etc.)",Small lake with Canoes,Covered outdoor spaces,one large one - 38'x46',,,"Although in Washington, it is only an hour drive from Portland.",,,Only the dining hall is ADA accessible and weatherized; lacking 100 dining seats,,,,-121.7448145,45.7161281,
Camp Cleawox,Girl Scouts of Oregon and Southwest Washington,Lane,www.girlscoutsosw.org/camp,Allie McVay,Outdoor Program Manager,amcvay@girlscoutsosw.org,503-977-6823,"04595 Mitchell Loop Road, Florence, OR 97439","04595 Mitchell Loop Road, Florence, OR 97439",Yes,Siuslaw,,Yes,,"NO, we could have hosted additional schools",We have very minimal utilization of our property for outdoor schools.,,,,,We only have this one because it is the local camp. We would like to do more.,No,,,"Art hut, archery, canoeing, kayaking, ceramics",Yes,Yes,Only June - August,Only June - August,Yes,Only June - August,No,Yes,47,144,150,Yes,"Vegetarian, vegan, lactose free, gluten free",No,,"3 or less of sleeping units, Toilets, Showers, Dining hall, Campfire space(s)",Would need more information to determine,Would need more information to determine,,"Dining hall, Only some bathroom facilities. The ""staff house"" is also available and weatherized.","Composting toilets, Plumbed toilets in separate bathroom facility, Showers in separate bathroom facility",,"Winter, Spring, Fall",,Yes,There are multiple sleeping units. One could be set aside for adults. In the summer the adults in the sleeping unit share a cabin of four.,"Forested areas, Trails",Campfire space(s),100,"Access to water (lake, pond, river, stream, etc.)",It is on Cleawox Lake,,,,,,,,,,Siuslaw Middle School – Florence,,-124.1138449,43.9374748,
Camp Whispering Winds,Girl Scouts of Oregon and Southwest Washington,Benton,www.girlscoutsosw.org/camp,Allie McVay,Outdoor Program Manager,amcvay@girlscoutsosw.org,503-977-6823,"23111 Burgett Creek Road, Philomath, OR 97370","23111 Burgett Creek Road, Philomath, OR 97370",No,,,yes,,"NO, we could have hosted additional schools",We have very minimal utilization of our property for outdoor schools.,Yes,Very rarely - Just random school that would find our sites,,Yes,,No,,,"Art hut, archery, canoeing, mountain biking, ceramics",Yes,Yes,Only June - August,Only June - August,Yes,Only June - August,No,Yes,225,150,50,Yes,"Vegetarian, vegan, lactose free, gluten free",No,,"Showers, Dining hall, Campfire space(s)",Would need more information to determine,Would need more information to determine,,Two lodges,"Portable chemical toilets, Composting toilets, Showers in separate bathroom facility",,"Winter, Spring, Fall",,Yes,There are multiple sleeping units. One could be set aside for adults. In the summer the adults in the sleeping unit share a cabin of four.,"Pool, Forested areas, Meadowland, Trails",Campfire space(s),50,"Access to water (lake, pond, river, stream, etc.)",Lake of the Winds,Covered outdoor spaces,Mid-sized ones by each unit,,,,,,"Lacking 100 dining seats; bathroom facilites and dining facilites are not weatherized; toilets, sleeping spaces are not ADA accessible",Does not own their own facility,,,-123.4753283,44.6365201,
Homestead Outdoor Program Center,Girl Scouts of Oregon and Southwest Washington,Clackamas,www.girlscoutsosw.org,Allie McVay,Outdoor Program Manager,amcvay@girlscoutsosw.org,503-977-6823,"72189 E Hwy. 26, Rhododendron, OR 97049","72189 E Hwy. 26, Rhododendron, OR 97049",No,,,,,,,Yes,Very rarely - Just random school that would find our sites,,Yes,,No,,,potentially archery,Yes,Yes,No,No,Yes,No,No,Yes,31,40,40,Negotiable,"Vegetarian, vegan, lactose free, gluten free",No,,Toilets,Would need more information to determine,Would need more information to determine,,"Bathroom facilities, lodge - this is where they sleep","Plumbed toilets in separate bathroom facility, Showers in separate bathroom facility",,"Winter, Spring, Summer, Fall",,No,,"Trails, forested area",,,,,,,,,,,,"Sleeping units, showers, dining hall, and campfire spaces are not ADA accessible; small capacity",Closed,,,-121.9180529,45.3343051,
Mountaindale Outdoor Program Center,Girl Scouts of Oregon and Southwest Washington,Washington,www.girlscoutsosw.org,Allie McVay,Outdoor Program Manager,amcvay@girlscoutsosw.org,503-977-6823,"36885 NW Uebel Rd. North Plain, OR 97133","36885 NW Uebel Rd. North Plain, OR 97133",No,,,,,,,No,,,Yes,,No,,,"archery, bouldering, geocaching",Maybe - need more information,Yes,No,No,Yes,No,No,Yes,50,105 in buildings 205 with tent camping,74,Yes,"Vegetarian, vegan, lactose free, gluten free",No,,the main lodge that has 75 beds,Would need more information to determine,Would need more information to determine,,"Dining hall, Bathroom facilities","Plumbed toilets in separate bathroom facility, Showers in separate bathroom facility",,"Winter, Spring, Fall",,No,,"Forested areas, Trails",,,"Access to water (lake, pond, river, stream, etc.)",small lake,Covered outdoor spaces,capacity of 40,,,,,,"Toilets, showers, campfire, dining hall are not ADA accessible; short 21 seats for dining; sleeping spaces are not weatherized",,,,,,
Cottonwood Crossing Summer Institute (CCSI),I don't think anyone owns CCSI,"Sherman, Gilliam",https://sites.google.com/site/cottonwoodcrossinginstitute14/home,Julie Keniry,GO-STEM Grant Facilitator,jkeniry@eou.edu,541-962-3012,"Cottonwood Canyon State Park, 99989 Hwy. 206, Wasco, Oregon 97065","One University Blvd, EOU ZH238, La Grande, OR 97850",Yes,"Fossil, Sherman, Arlington, N.Wasco","one week, 18 students",,,,,,,,,,Yes,"The CCSI program was piloted in June 2015. An expanded program is being planned for June 2016. The program is a combination of professional development for teachers and outdoor school field studies for high school students. It is currently volunteer run by Oregon State Parks, GO-STEM, Regional Solutions, EOU and Oregon Parks Foundation.",In progress to align with NGSS and CCSS,,,Maybe - need more information,Yes,No,No,No,No,Yes,8015,18,18,No,,No,,"The only facilities are vault toilets and tent camps, I don't know if they are ADA accessible",Would need more information to determine,Would need more information to determine,,Bathroom facilities,"Plumbed toilets in separate bathroom facility, vault toilets",,Summer,,No,,Trails,,,"Access to water (lake, pond, river, stream, etc.)",John Day River,Covered outdoor spaces,"one, about 4 picnic tables?",,,,,,,"""Lacking 100 dining seats; bathroom facilites and dining facilites are not weatherized; toilets, sleeping spaces are not ADA accessible""",,,-120.4694223,45.4789512,
Gales Creek Camp Foundation,Independent Non-Profit,Washington,www.galescreekcamp.org,Jo Vance,Program Director,jo@galescreekcamp.org,5039682267,"59425 NW Cedarbrook Lane, Forest Grove, OR, 97116","1100 NE 28th Ave, Suite 106",No,,,no,,Our camp did NOT provide facilities for Outdoor School programs during Spring 2016,,No,,,Maybe - need more information,,No,,,"Archery, high ropes, we also have a creek for freshwater ecology, swimming",Maybe - need more information,Yes,Yes,Yes,Yes,Yes,Negotiable,Yes,37,128,150,Yes,"Gluten free, vegetarian, vegan. We are a camp that serves children with Type 1 diabetes.",No,NOTE- Applying for ACA Accreditation 2016,"All sleeping units, Toilets, Showers, Dining hall, Campfire space(s)",Would need more information to determine,Yes,,"All sleeping units, Dining hall, Bathroom facilities","Plumbed toilets in separate bathroom facility, Plumbed toilets in sleeping unit, Showers in sleeping unit",,"Winter, Spring, Fall",,Yes,We have a separate building that can house about 8 adults.,"Ropes course, Pool, Forested areas, Meadowland, Trails",Campfire space(s),About 100,"Access to water (lake, pond, river, stream, etc.)","We have a creek that runs through the middle of our camp- weather dependent, it could be a great place for riparian, freshwater eco, macro-invertebrate study (I used to be a naturalist!)",,,Other amenities/resources,we have a large indoor hall in addition to our Dining Hall,,,Jo Vance jo@galescreekcamp.org,,,,,,,
Camp Meadowood Springs,"Institute for Rehabiltiation, Research and Recreation Inc.,",Umatilla,www.meadowoodsprings.org,Terri Sirovatka,Office Coordinator,tsmeadowoodsprings@gmail.com,541-276-2752,"77650 Meadowood Rd. Weston,OR 97886",PO Box 1025,Yes,"Hermiston, Pilot Rock, Echo",6 week @ 300 students,,"No, we are able to host additional schools",,,Yes,,,,,No,,,"Running Camp, Chinese Camp",,each group has its own insurance,No,No,Yes,No,Yes,Yes,143,100,100,Yes,,No,,"More than 3/less than all sleeping units, Toilets, Showers, Dining hall, Campfire space(s)",No,Yes,ADA paths,"Some sleeping units, Dining hall, Bathroom facilities","Plumbed toilets in separate bathroom facility, Plumbed toilets in sleeping unit, Showers in separate bathroom facility, Showers in sleeping unit",,"Winter, Spring, Summer, Fall",We reserve July for our camp,Yes,Same type of cabin students use just in a different area,"Ropes course, Pool, Forested areas, Meadowland, Trails",Campfire space(s),not sure,"Access to water (lake, pond, river, stream, etc.)",pond for fishing and canoing,,,,,,,,,"""Sleeping units, field studies, showers, toilets, and dining hall are not ADA accessible; sleeping spaces, dining hall, and bathrooms are not weatherized""","Pilot Rock Elementary School – Pilot Rock, Helix School – Helix, Desert View Elementary School – Hermiston, Highland Hills Elementary School – Hermiston, Rocky Heights Elementary School – Hermiston, Sunset Elementary School – Hermiston, West Park Elementary School – Hermiston",,-118.2409864,45.7874226,
New Frontier Ranch,Jesse Randall,Jackson,http://newfrontierranch.com/#home-1,Jesse Randall /OR/ Eric R. Paliuca,Manager,office@newfrontierranch.com,(541) 488-6715,,"16799 Hwy 66, Ashland, OR 97520",Yes,"All of Jackson County, Klamath Falls Basin, Medford, Grants Pass & beyond","12-16 weeks, up to 120 students per visit",,"No, we are able to host additional schools",,,,,,,,No,,,"Permaculture, Organic Gardening, Bee Farm, Archery, Forestry, Animal Husbandry, Organic Eggs,",yes,Maybe - need more information,Negotiable,No,yes,"We have caterers & chef we work with.  Ex: we have 60 students coming in June, and are providing a Farm-to-Table Chef & Educator.",Negotiable,Yes,"Property is 953 acres, Campground is roughly 150 acres",120,120+,yes,"All of Above. Most of us are vegetarian and vegan, and prefer to serve this. We can accomodate all dietary requirements.",Negotiable,,"More than 3/less than all sleeping units, Toilets, Showers, Dining hall, Campfire space(s), Need to verify all this. If not accessible, reasonable accomodations could easily be made.",Would need more information to determine,Yes,,"Some sleeping units, 3 Log Cabins.  Campground is Summer Facilities Only","Plumbed toilets in separate bathroom facility, Showers in separate bathroom facility","We have bathrooms in 2 areas in our campground.  One is in a separate building, and one is adjoining the commercial kitchen, in the campground.","Summer, Fall",Mostly May - September,Yes,"3 Separate, bunk log cabins.  All in nice condition.  Each can sleep 3-6","Ropes course, Forested areas, Meadowland, Trails",campfire spaces,20-30 +,"Access to water (lake, pond, river, stream, etc.)","We have a lake called ""Outback Pond"" with swimming dock, waterslide, canoes, kayaks etc.",Covered outdoor spaces,1,Other amenities/resources,"We have a outdoor theatre, roughly seating for 100.  Right in the campground.  We have a nurses station in our commercial kitchen.  We have basketball & volleyball courts in the campground.  It is secluded, wooded, safe and adventurous! We also have a lovely activity field, roughly size of soccer field. Our accomodations are Teepees & bunkalow tents.  Plenty of space for additional tents.",We are very interested in working with you.,"Wildnerness Trails, and https://www.novalisproject.org/",Eric - e.paliuca115@gmail.com   Office - office@newfrontierranch.com,(formerly Box R Ranch Outback - sold partial oin 12/15),"""24 Adirondacks (3-sided camp shelters), 2-room cabins, numerous tent sites, and a rustic day lodge complete with cooking facilities to accommodate groups of up to 250 people.""",,,,,
